,label,lat,long
81,2.0,-89.86111109999999,37.7241667
82,4.0,-80.0666667,26.525
83,2.0,-88.705104,43.40555
84,2.0,-90.199404,38.627003
85,2.0,-92.0844444,38.1266667
86,2.0,-84.6266667,38.9988889
87,0.0,-122.33083329999998,47.6063889
88,0.0,-122.635,47.5405556
89,2.0,-94.6336111,42.3952778
90,5.0,-122.0797222,37.6688889
91,2.0,-92.37361109999999,41.0041667
92,5.0,-119.77138889999999,36.7477778
93,5.0,-112.07333329999999,33.4483333
94,2.0,-75.9783333,36.8527778
95,2.0,-91.4844444,46.0130556
96,0.0,-123.36638889999999,44.5402778
97,0.0,-122.33083329999998,47.6063889
98,2.0,-84.4569444,39.1619444
99,0.0,-122.675,45.5236111
100,2.0,-86.743915,41.79393
101,5.0,-118.1261111,34.0952778
102,2.0,-86.1580556,39.7683333
103,2.0,-77.4291667,38.8402778
104,5.0,-116.0925,42.9897222
105,2.0,-83.5688889,41.7791667
106,2.0,-78.70111109999999,33.8075
107,5.0,-106.65055559999999,35.0844444
108,2.0,-89.49638890000001,45.3088889
109,2.0,-74.1441667,41.0886111
110,2.0,-74.405661,40.058324
111,2.0,-87.4138889,39.4666667
112,2.0,-86.1580556,39.7683333
113,2.0,-79.95611109999999,39.6294444
114,5.0,-122.27166670000001,37.8716667
115,2.0,-90.57861109999999,41.5094444
116,2.0,-79.466844,42.209774
117,2.0,-79.7108333,42.2669444
118,2.0,-93.26861109999999,44.295
119,2.0,-82.5155556,40.7583333
120,2.0,-92.3338889,38.9516667
121,2.0,-89.49638890000001,45.3088889
122,0.0,-122.33083329999998,47.6063889
123,5.0,-111.5488889,33.415
124,4.0,-80.16277779999999,25.9327778
125,5.0,-118.2427778,34.0522222
126,2.0,-78.6305556,40.5030556
127,2.0,-86.7888889,35.4491667
128,4.0,-80.16277779999999,25.9327778
129,0.0,-120.29194440000002,47.4158333
130,2.0,-82.4611111,35.3186111
131,2.0,-94.2005556,46.3580556
132,5.0,-95.23527779999999,31.1911111
133,5.0,-122.41833329999999,37.775
134,2.0,-83.95833329999999,34.8761111
135,2.0,-88.2491667,35.2247222
136,2.0,-78.88972220000001,38.0683333
137,2.0,-91.83183299999999,35.20105
138,5.0,-97.8172222,34.6377778
139,4.0,-82.35416670000001,31.2133333
140,5.0,-102.0086111,33.5058333
141,2.0,-81.4888889,41.52
142,0.0,-122.90583329999998,44.5366667
143,2.0,-84.23388890000001,33.5441667
144,5.0,-104.98416670000002,39.7391667
145,4.0,-81.6558333,30.3319444
146,5.0,-116.21472220000001,33.7205556
147,2.0,-76.2625,42.1033333
148,2.0,-75.70361109999999,40.0063889
149,5.0,-97.7427778,30.2669444
150,2.0,-83.8194444,33.5394444
151,4.0,-80.03643000000001,26.705621
152,2.0,-84.01777779999999,33.6675
153,4.0,-80.3975,27.6383333
154,4.0,-80.23,27.2541667
155,4.0,-95.3630556,29.7630556
156,2.0,-92.10638890000001,46.7833333
157,5.0,-102.83888890000001,40.68
158,2.0,-80.08888890000001,41.1577778
159,5.0,-96.5769444,33.4213889
160,5.0,-104.98666670000001,39.8855556
161,2.0,-92.98,45.5113889
162,2.0,-73.865,42.6291667
163,5.0,-116.10305559999999,40.7138889
164,2.0,-87.5558333,37.9747222
165,2.0,-73.7566667,42.6525
166,5.0,-121.9875,37.5483333
167,5.0,-114.6236111,32.7252778
168,2.0,-86.25,41.6833333
169,2.0,-91.3038889,43.8280556
170,2.0,-80.22134799999999,40.516977
171,2.0,-75.1641667,39.9522222
172,0.0,-122.33083329999998,47.6063889
173,5.0,-104.60861109999999,38.2544444
174,2.0,-84.4569444,39.1619444
175,5.0,-117.1563889,32.7152778
176,2.0,-89.4011111,43.0730556
177,2.0,-84.6283333,40.4797222
178,5.0,-106.9872222,38.8697222
179,5.0,-95.9925,36.1538889
180,5.0,-109.29083329999999,34.1111111
181,2.0,-76.5838889,36.7280556
182,5.0,-117.9136111,33.8352778
183,2.0,-77.945,34.2255556
184,2.0,-77.56388890000001,39.1155556
185,2.0,-86.895,41.7075
186,5.0,-122.0311111,37.3230556
187,2.0,-78.74416670000001,42.7675
188,2.0,-76.88472220000001,40.2736111
189,2.0,-81.5269444,41.5930556
190,2.0,-82.6958333,34.3769444
191,2.0,-73.6288889,41.0263889
192,2.0,-79.975,32.8544444
193,5.0,-122.389979,37.615223
194,2.0,-77.1875,38.7891667
195,2.0,-73.20527779999999,41.1669444
196,0.0,-122.56916670000001,45.4077778
197,5.0,-100.4366667,31.4636111
198,2.0,-72.6441667,41.8525
199,2.0,-89.6961111,41.7886111
200,0.0,-122.20083329999999,47.9791667
201,5.0,-110.61972220000001,35.8752778
202,2.0,-73.7566667,42.6525
203,5.0,-117.94055559999998,33.7738889
204,4.0,-80.1938889,25.7738889
205,2.0,-73.6922222,42.7283333
206,5.0,-108.21805559999999,36.7280556
207,5.0,-112.315,34.61
208,2.0,-79.3758333,42.0963889
209,2.0,-71.4666667,41.55
210,2.0,-72.07888890000001,41.35
